case_order,UID,area,TimeZone,job,children,age,income,outage_sec_perweek,email,contacts,yearly_equip_failure,techie,port_modem,tablet,phone,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,payment_method,tenure,monthly_charge,bandwidth_gb_year,timely_response,timely_fixes,timely_replacements,reliability,options,respectful_response,courteous_exchange,active_listening,contract_One year,contract_Two Year,internet_service_Fiber Optic,gender_Male,gender_Nonbinary,churn_Yes,log_monthly_charge
1509,9947553cc0f73aa121175dca4a94ef61,Rural,America/Chicago,Health physicist,2,54,33735.54,6.373342678,10,0,2,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Electronic Check,-0.8631068143227694,-0.6442373353542117,-1.0228217901121717,3,2,2,4,2,4,3,2,False,True,True,True,False,False,-1.0334914427982218
1510,772291a0f8a084e67168146ff8eed7a8,Urban,America/New_York,Further education lecturer,1,22,46078.58,10.23339712,16,1,0,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Electronic Check,-1.1200633163964797,-0.4695393013863775,-0.9465382185256824,6,5,4,3,4,3,5,3,False,True,False,True,False,False,-0.6340094073413789
1511,a30b9393b757bfad8e5e6ea38b53b053,Urban,America/New_York,"Embryologist, clinical",3,31,34179.49,8.925221032,14,1,0,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Electronic Check,-0.5707597338938364,0.055803934592485276,-0.5735908521283274,7,6,6,4,4,5,6,5,False,False,False,False,False,False,0.05430250004609247
1512,826ca3a45e549e0d8fcadfbb4b2ff7fd,Urban,America/Denver,"Presenter, broadcasting",3,80,22140.16,11.43541645,16,4,0,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,Bank Transfer(automatic),-1.2074149456120482,-1.5756974890841853,-1.348560929478354,3,4,4,4,4,4,2,3,False,False,False,True,False,False,
1513,9038d6c42b0f7090368d57d74ca05f92,Urban,America/Chicago,Industrial/product designer,0,67,34412.53,12.45079876,12,1,0,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Bank Transfer(automatic),-0.6443647393657004,-0.5270507951547749,-0.6234535131077765,4,4,5,4,4,4,6,6,False,False,False,True,False,False,-0.7487672855904136
1514,22a7b268288a39e4c6a1e643540d4653,Rural,America/New_York,Chief Marketing Officer,5,18,72563.64,9.492638901,15,0,1,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Electronic Check,-1.0379584920309373,1.5716945401924507,-0.9283007588452297,4,3,4,4,2,4,2,2,False,False,True,False,False,True,0.9445650357891643
1515,6391851450a9269abfdb2ce8d15effc5,Urban,America/Chicago,Housing manager/officer,0,85,93561.74,7.94076683,12,1,0,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Mailed Check,-0.9347916585590574,0.22873689337047798,-1.121102380364193,4,4,3,5,3,5,2,4,False,False,True,False,False,True,0.20598672578591323
1516,4ea9afeaf71b0ff0590dfa2b31ca2617,Suburban,America/Chicago,Copy,0,71,5902.12,8.501483623,10,2,0,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Credit Card (automatic),-1.0908014928540772,1.3972494349740805,-0.9179164188806113,2,2,3,3,3,4,4,4,False,True,False,True,False,True,0.8743220113540892
1517,af28b450b79621c3b0c150a6371a0737,Suburban,America/New_York,"Teacher, music",1,70,22139.63,9.396558793,12,1,0,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Bank Transfer(automatic),-0.8686315433138264,1.3983360202352202,-0.8538441396363686,4,4,3,4,3,3,5,2,False,False,False,False,False,True,0.874775171991047
1518,d0a76f8180fce6c508219574f5962135,Suburban,America/New_York,"Lighting technician, broadcasting/film/video",3,29,21394.21,9.477521787,13,0,0,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Bank Transfer(automatic),-1.2262596679204099,-0.9352102621818943,-1.0651055291391818,4,4,5,3,5,3,3,4,True,False,False,True,False,False,-2.7366080551698277
1519,450d56d374bd69ee5feecbd06307103c,Rural,America/New_York,IT sales professional,0,58,9336.88,9.171665689,12,0,0,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Electronic Check,-1.044403914727932,1.3359816663294255,-1.0829639290245758,2,2,2,4,3,2,5,4,False,False,True,False,False,False,0.8484322166172995
1520,9174617892f3a97880fc9c14a324611e,Urban,America/New_York,Seismic interpreter,3,19,15694.8,7.423334085,16,1,0,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Electronic Check,-0.7177770623622574,-0.5860315392438087,-0.837719969111668,2,4,3,4,5,2,3,3,False,False,True,False,False,False,-0.8819654898071296
1521,da679f7799caf2788454cad5f8cfbcbf,Rural,America/Los_Angeles,Chief of Staff,1,54,5984.94,16.72529341,8,1,0,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Mailed Check,-1.0343919948405225,-1.2851524289275182,-0.9769506464024847,2,2,3,4,3,3,4,4,False,True,False,True,False,True,
1522,f3f3e90697a7db3e7b8b27d2a9a28e21,Suburban,America/Chicago,Chartered certified accountant,2,68,37911.51,9.203214554,12,1,1,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Electronic Check,-1.2604353681147518,-1.342587748316071,-1.4362842891414547,4,2,3,5,3,5,5,3,True,False,True,True,False,False,
1523,79eb767c24e64434983a3a97701b0cab,Suburban,America/New_York,Water quality scientist,4,40,52766.63,12.04554874,13,2,0,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Electronic Check,-1.2040464809608025,-0.236539013258212,-1.0315327573320816,3,3,4,5,2,2,3,1,True,False,False,False,False,True,-0.2698932535441363
1524,b8fefe2acdc982673f14455566f58899,Urban,America/Chicago,Advertising account executive,1,78,19826.08,7.61600943,13,0,0,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Electronic Check,-1.1510886988127897,-0.7601890867604595,-1.2574449385664348,4,4,4,3,2,5,4,3,False,False,False,False,False,True,-1.427904527668045
1525,a496c8fcdd127fd171b0a5e6ed215c5b,Urban,America/Chicago,Translator,2,67,41397.45,17.94420077,12,0,1,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Bank Transfer(automatic),-1.2182305230365147,0.4621627426778819,-1.3200440498005286,4,3,2,3,3,3,3,4,False,False,True,False,False,True,0.37991667023367104
1526,abfcc78c5e19f8e7cd0a232b21197caf,Suburban,America/New_York,"Scientist, research (physical sciences)",0,18,18426.49,14.39528085,10,1,1,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Electronic Check,-1.2236569994180058,-1.4012191056057117,-1.4250465718651628,4,4,4,2,5,3,5,2,True,False,True,False,False,False,
1527,870818eb5b4d90a11dcde66da5f022a5,Suburban,America/New_York,Graphic designer,0,58,47034.88,8.929622575,13,1,0,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Electronic Check,-0.8162413852990397,-0.5281706586760181,-0.7693534848055815,4,4,5,4,3,3,5,4,False,False,False,False,False,False,-0.751137923768527
1528,8c70b3551fdbd94467c988387edb6a73,Urban,America/Denver,Advertising account planner,2,33,33691.63,12.03362399,17,1,0,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Mailed Check,-0.9609467138394847,-0.0038881119294389916,-0.9873163957264364,3,3,2,5,2,4,5,5,True,False,True,False,False,False,-0.0038956902866723203
1529,23b7828c055ee98cbf47523de35a213d,Urban,America/New_York,Ship broker,3,57,39683.73,11.90156254,13,0,0,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Credit Card (automatic),-1.009121337130305,0.46146201290425426,-1.0630407626355698,3,3,3,3,4,3,3,4,False,False,True,False,False,True,0.37943731337659986
1530,7ea1e3c402872ac8d303b82740b7f169,Suburban,America/Chicago,"Surveyor, hydrographic",0,61,121849.0,9.184449781,17,0,0,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,Mailed Check,-0.6619937226394408,1.5716945401924507,-0.6689605188671324,3,2,3,5,3,3,3,1,True,False,True,True,False,False,0.9445650357891643
1531,27efa4786afdf84d295aa127921258b3,Suburban,America/Chicago,Warden/ranger,1,79,10457.26,11.41399094,11,1,0,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Electronic Check,-0.7122510838316676,0.7534735521338651,-0.8484871287350642,3,4,4,5,1,5,4,3,False,True,True,False,False,False,0.561598707583786
1532,9b23abe26e74ff60170734adad5f4e5c,Rural,America/New_York,Hospital pharmacist,3,57,8515.02,8.985947449,12,0,0,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Bank Transfer(automatic),-0.8613382794526602,0.985718663621978,-0.931073084016006,2,3,3,4,3,4,2,4,False,True,True,False,False,True,0.6859808957806179
1533,f7af11d4702a3e9ecc67e7e757bb25b1,Suburban,America/Chicago,Product/process development scientist,1,72,7524.77,9.74065027,17,3,0,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Mailed Check,-0.9070707588483401,0.640588500684404,-0.7406357418221308,5,4,6,3,3,6,4,5,True,False,False,False,False,True,0.4950550193484917
1534,b6a4c478870d77a7f4cf2f98c69d9d91,Suburban,America/New_York,"Therapist, music",3,58,44086.35,7.943538816,8,1,0,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Electronic Check,-0.7412101321835626,1.165335732107054,-0.6643440876269509,3,3,3,4,4,3,3,3,False,False,False,True,False,True,0.7725754219987142
1535,e3d72bb8c4ec66aeeed9da219226eb60,Rural,America/New_York,Clinical embryologist,3,44,28776.49,8.745070841,7,0,0,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Credit Card (automatic),-0.8713190558908792,0.054771796197771255,-0.7197494993381305,4,3,4,5,3,3,3,4,False,True,False,False,False,False,0.05332443660876971
1536,f6358c0a093464dfcacee876a58d8565,Suburban,America/Denver,Mechanical engineer,1,45,42065.56,10.63592827,14,0,0,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Mailed Check,-1.1517727301472218,0.4621627426778819,-1.2352313863930589,3,4,4,3,3,4,4,3,False,False,True,False,False,True,0.37991667023367104
1537,fc574df984c98015d6287bb1ceaff9fe,Rural,America/New_York,Network engineer,0,58,23624.95,11.62131427,5,0,0,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Electronic Check,-1.1595174794174399,0.8728336121725169,-0.9584348478915976,4,3,3,3,4,3,2,3,False,False,False,True,False,True,0.6274525845839768
1538,249096dca69edd2c961bbf14fa836f17,Urban,America/Chicago,"Engineer, materials",0,22,29803.77,2.533696725,15,1,0,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Electronic Check,-1.227536265089671,-1.2265210716378776,-1.1001106150350912,3,2,3,2,3,4,5,4,False,True,False,True,False,False,
1539,1ea8f5797ab5b426bfa3bb2484f98c07,Rural,America/Chicago,"Producer, radio",3,86,33394.07,10.80481174,10,3,0,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Bank Transfer(automatic),-0.9862644710590057,0.5789998960779255,-1.0203371988548566,3,4,3,4,2,4,4,4,True,False,True,True,False,False,0.45679166945838284
1540,3079c5e93a9337732fab6028eaff3a85,Urban,America/Chicago,Retail merchandiser,1,45,27294.82,8.111219363,14,2,0,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Electronic Check,-1.1107384932241706,-1.4012191056057117,-1.3395122554270058,3,4,3,5,2,3,5,3,False,True,True,False,False,False,
1541,f7d9af8846811519265872d25ad3a317,Rural,America/Los_Angeles,Orthoptist,3,70,16232.47,10.09976546,10,0,1,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Electronic Check,-1.1707696462950419,0.2878482587057827,-1.2124500849591446,4,4,4,4,3,3,4,4,False,True,True,False,False,False,0.25297280917800113
1542,af26086bfc51e5462e1f07b38966b128,Rural,America/Indiana/Indianapolis,Web designer,1,61,11087.89,11.92666547,8,0,0,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Bank Transfer(automatic),-1.233993152349698,1.2773503090397849,-1.2957671712758196,4,4,2,4,3,5,5,4,False,False,True,False,False,False,0.8230126219940292
1543,398b618469d3e407fc693d5b7780f263,Urban,America/Chicago,Volunteer coordinator,4,71,22173.37,8.049521055,11,1,0,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Credit Card (automatic),-0.8627687057168235,-0.2939743326467642,-0.9464373328153257,1,1,1,6,3,3,2,4,False,True,True,True,False,False,-0.3481036861253459
1544,7263872d7130074eee9de87220decbcb,Urban,America/New_York,"Librarian, academic",1,38,28822.56,6.572112158,11,0,1,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Mailed Check,-1.230378218181288,-0.8186824405725818,-1.2234992764631472,5,5,3,4,4,5,4,4,False,False,False,False,False,True,-1.7075053130297566
1545,c4a284817259f6c3e6d3d513b1eaa751,Rural,America/Chicago,Diplomatic Services operational officer,1,35,20827.61,13.75238289,11,0,1,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Electronic Check,-1.2035758156872067,1.3385895268468702,-1.142747270311096,2,2,1,2,6,1,1,3,True,False,True,True,False,True,0.8495479813282112
1546,10289426a608d1f00f5dc9f227ad2e98,Rural,America/New_York,Publishing rights manager,0,74,17982.42,7.637367057,9,1,0,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Mailed Check,-1.2427736578727597,-0.993189374888625,-1.3609855747747885,4,5,3,3,4,4,5,4,False,False,False,False,False,True,-4.989271369880002
1547,d1a4d0d5466943c47ade2dd609b8c2eb,Rural,America/New_York,Software engineer,0,24,70493.36,6.658362671,18,1,0,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Credit Card (automatic),-0.6748528088532125,0.055803934592485276,-0.6709022404441027,5,5,5,3,4,5,5,4,False,False,False,True,False,True,0.05430250004609247
1548,b3af5cfb7ab273b30bd2bb8fedc048a1,Rural,America/New_York,Arts development officer,2,72,17236.27,3.849382458,16,2,1,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Electronic Check,-1.2325972486617611,0.5200933701938956,-1.2867925720312585,4,4,4,4,3,4,4,4,False,True,True,False,False,False,0.4187717607307193
1549,c1182eba82cca07033857ca75f2d8df9,Urban,America/Chicago,Air cabin crew,0,30,51266.47,8.913392702,11,1,0,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Credit Card (automatic),-0.822609671470003,0.8147127699409505,-0.8146233335913755,3,3,2,4,3,4,4,2,False,False,True,True,False,True,0.5959272017173511
1550,e20e8195ae8a2bc58f2b465ce812be4b,Rural,America/Denver,Freight forwarder,0,40,7086.19,11.91525643,13,2,1,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Mailed Check,-0.9043411843653247,0.17095023100769066,-1.063540820391543,2,1,2,4,5,2,4,3,False,False,True,False,False,True,0.15781558243798668
1551,4a1aedfdab17e6bf941145cb6de686ce,Suburban,America/New_York,Sports coach,9,43,10192.86,7.570554898,12,0,0,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Electronic Check,-0.5427138376111843,0.9860394995838015,-0.4726421178339275,3,2,2,2,3,2,2,2,True,False,True,False,False,False,0.6861424544402028
1552,3fff6ba03e993c90d9cff0f6c0467c0e,Suburban,America/New_York,"Scientist, research (medical)",2,56,24260.11,10.1263974,9,1,0,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Credit Card (automatic),-1.0850041442896035,-0.5861164931226452,-1.0135919026651625,4,3,4,2,4,3,4,3,False,True,False,True,False,False,-0.8821707291070436
1553,7c857490953e7a5ce15f96589ba1a3a0,Suburban,America/New_York,Radio broadcast assistant,0,28,26169.39,9.799122634,11,1,0,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Bank Transfer(automatic),-1.1936060616701716,-0.7607651569635242,-1.26469784880394,3,4,3,3,5,3,2,3,True,False,True,True,False,False,-1.4303096026455473
1554,2fa33cd584474e24f755dd0849ea0d88,Rural,America/Chicago,Cartographer,4,44,36637.4,18.0799042,19,1,0,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Credit Card (automatic),-1.2507340827340863,0.46146201290425426,-1.2690032155722164,4,4,5,2,4,4,3,5,False,False,True,False,False,True,0.37943731337659986
1555,d571eab9707287e4c4f9c6a23bca877c,Rural,America/New_York,"Solicitor, Scotland",0,46,59689.49,11.24745547,11,1,0,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Credit Card (automatic),-0.8277424345833864,-0.8186824405725818,-0.850382900896712,2,1,1,5,3,4,5,2,False,True,False,False,False,False,-1.7075053130297566
1556,99c677eb7600d9ad47014e02b8924705,Urban,America/Los_Angeles,"Designer, blown glass/stained glass",2,47,28528.32,11.15167976,7,1,0,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Credit Card (automatic),-0.9857937166838622,1.5716945401924507,-0.9623552476319975,3,3,4,4,3,3,4,4,False,False,True,False,False,True,0.9445650357891643
1557,1174aedfaecb6e927d1b04211846669f,Urban,America/Anchorage,Oceanographer,3,75,13389.11,10.3868905,11,0,0,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Bank Transfer(automatic),-0.8774101352714738,-0.0032073165089594327,-0.9204930586126114,3,3,4,3,4,3,2,4,False,True,False,False,False,False,-0.003212470972835936
1558,ab75d135ced5a21cf79a643da49e4bba,Suburban,America/Chicago,"Administrator, charities/voluntary organisations",1,19,14075.36,10.29101591,18,1,1,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Electronic Check,-0.9229708975288748,-0.23618767028397689,-0.930222861951213,4,4,3,4,3,2,4,2,False,False,True,True,False,True,-0.2694331617234426
1559,b9885254df770afc7befc82859707d4b,Rural,America/Los_Angeles,"Designer, exhibition/display",0,28,57821.02,9.20355866,15,2,0,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Electronic Check,-0.9685636226595905,-0.7607651569635242,-1.0415716026141448,4,4,3,3,3,4,4,2,False,False,True,True,False,False,-1.4303096026455473
1560,8bb8ebbb69048a53181db399ab72b394,Suburban,America/New_York,Television floor manager,1,49,49781.85,10.58941533,13,1,0,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Credit Card (automatic),-0.9937411730720755,-1.4005383101852322,-1.1589297565234327,6,5,5,4,3,5,4,5,False,True,False,True,False,False,
1561,8400279eba002c08a224cb09adffaabb,Rural,America/New_York,Clinical psychologist,0,63,65095.99,15.40380196,16,0,0,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Bank Transfer(automatic),-0.9552473604128715,-0.35292652589822837,-1.1915349972821165,2,2,3,4,3,2,3,3,False,True,True,False,False,False,-0.43529542972052
1562,d490ff869f502df8233d53cacc3524c8,Rural,America/Chicago,Commissioning editor,3,44,87367.88,6.172326327,17,0,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Mailed Check,-0.954009458124615,1.9800783851314638,-0.5851007198361861,2,3,3,4,1,4,5,2,False,False,False,True,False,True,1.0919496039067664
1563,b181b8c1715af4743323bef1b026f84c,Suburban,America/Chicago,Data processing manager,3,70,8253.96,8.983435185,11,0,0,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Electronic Check,-1.213944577932263,-0.7015577294708182,-1.2236385034020825,5,4,5,2,5,4,4,4,False,False,False,True,False,True,-1.2091787634155988
1564,9ec028c2867a2e444cc900481dfeda5b,Suburban,America/New_York,"Engineer, structural",1,48,26404.76,11.41922534,8,0,0,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Mailed Check,-0.4256629321815599,-0.4696984734702173,-0.28738725262413484,3,3,2,4,3,4,3,4,False,False,False,True,False,False,-0.6343095162277279
1565,848ae9e7f32e837694069d7d69de9fb3,Urban,America/Chicago,"Surveyor, commercial/residential",1,36,73656.97,3.19378035,13,1,0,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Mailed Check,-1.1954600241998126,-0.23669818534205186,-1.0280749256257002,6,6,4,3,4,4,4,5,False,False,False,True,False,False,-0.27010176279556763
1566,336015befb70466d3c56d9a3dbc51b8a,Rural,America/Denver,Information officer,1,70,36461.2,13.03421755,11,3,1,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Bank Transfer(automatic),-0.9938974445931917,-0.5281706586760181,-0.9494136534742053,3,3,2,3,2,3,3,2,False,True,False,False,False,False,-0.751137923768527
1567,570bd0b71f1b539ffbfdb8cb60d51edf,Urban,America/Detroit,Meteorologist,1,75,49518.71,9.622553575,15,2,1,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Mailed Check,-0.8724321032737977,-1.0513618927389243,-0.8540226155528695,5,5,4,3,4,3,2,4,False,False,False,True,False,False,
1568,7cefd69bf6cdf84c46808d3db60b2e8a,Suburban,America/New_York,Dealer,1,56,40189.23,10.90971891,13,1,0,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Electronic Check,-1.1566241092489886,0.35004344052773684,-1.1317509497397935,3,3,3,3,4,4,2,3,False,False,False,True,False,True,0.3001367701013259
1569,ff07b823d14480a979ebdbf37598485d,Rural,America/Chicago,Geochemist,4,34,10934.28,7.493478513,14,0,0,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Bank Transfer(automatic),-0.9681630875653601,-0.29483896192676556,-0.9738343284810816,4,4,3,2,3,5,5,4,False,False,False,False,False,True,-0.3493290794554697
1570,cd81d377104af407dd9e8443bcb28cb8,Rural,America/New_York,Editorial assistant,4,45,16073.46,10.07234257,9,0,1,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Bank Transfer(automatic),-0.9767293485301938,-0.35260568993640484,-1.0548324465440397,5,4,5,4,2,4,4,4,False,False,True,True,False,True,-0.4347997264325466
1571,f40a1e9a91512ec83d74b1987d4fa613,Urban,America/Chicago,Clinical molecular geneticist,3,30,21317.81,5.980381113,15,0,0,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Electronic Check,-1.0070640978151753,-0.8193965142531648,-1.0964295117204041,1,3,2,3,3,3,4,2,False,False,True,False,False,False,-1.7114513372617297
1572,0ace20d6cebb484a25393b87c9df3f08,Urban,America/Los_Angeles,Information officer,4,44,14007.48,10.31682421,14,0,0,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Credit Card (automatic),-0.9616669110232132,-0.004208947891261865,-1.0133456425746221,4,4,4,4,5,5,5,2,False,False,True,False,False,False,-0.004217830445337418
1573,9f5a0dbd71172f04bba69c57b4e3575c,Rural,America/Chicago,Hospital pharmacist,0,34,52634.87,6.842059381,10,1,0,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Credit Card (automatic),-1.1885612405364399,0.2290577293323015,-1.2215481671709452,4,4,4,5,4,3,3,5,False,True,True,True,False,False,0.20624780208633503
1574,0a13e0aa50b2a5f52862487c0a72a59d,Urban,America/Chicago,"Nurse, learning disability",2,20,18384.77,14.03130715,10,0,0,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Bank Transfer(automatic),-1.0869997615264322,-1.4012191056057117,-1.2643779326353493,5,5,5,4,3,4,4,3,False,True,True,False,False,False,
1575,ebbd1a0358a90925914aea4b7a306f9a,Urban,America/Chicago,"Accountant, chartered",0,28,57881.2,8.051881131,16,1,2,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Bank Transfer(automatic),-1.2027735763245728,-1.3423325140748292,-1.374354063246007,3,4,3,1,5,3,3,3,False,True,False,False,False,False,
1576,b4282ac676e98547baaa023edea5dbb4,Rural,America/Chicago,Environmental manager,8,35,47737.22,9.963528605,12,0,0,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Mailed Check,-0.6679298560924473,-0.23669818534205186,-0.4425771917918557,4,4,4,5,3,5,5,3,False,True,False,False,False,False,-0.27010176279556763
1577,3e14afce8e21171e14accb531ecc94b8,Urban,America/Chicago,Multimedia programmer,2,80,23041.14,8.911535445,13,0,0,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Electronic Check,-1.2166615720784917,0.6409199093054904,-1.1962694744684983,2,1,3,3,3,4,3,3,False,False,False,False,False,True,0.4952570048873398
1578,bae589575745a1e5d55e34a9d3300fdb,Rural,America/Chicago,"Therapist, nutritional",10,53,38529.53,11.85313615,14,4,1,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Credit Card (automatic),-1.1730374580954428,1.8633261856102574,-0.9838056151992332,2,2,1,2,5,2,3,3,False,True,True,True,False,True,1.0519839510305
1579,0c105f35ea20e70b9c07f623ea21e1f5,Urban,America/Phoenix,"Research officer, government",0,83,79304.79,10.22159613,13,3,0,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Mailed Check,-0.8694138946134511,1.6305811317233332,-0.8626323593336711,4,4,5,5,3,4,4,3,True,False,False,True,False,True,0.9672047844134724
1580,70e17972a7498e5051e49d47a52e1bb6,Rural,America/New_York,Hydrogeologist,0,43,9088.08,6.335681954,14,1,0,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Credit Card (automatic),-1.2391687486495897,1.630901967685156,-1.153769575082729,2,3,3,3,3,2,3,2,True,False,False,False,False,True,0.9673267408870212
1581,ab7a26f1598e7086b937f1b618ade2bc,Urban,America/Puerto_Rico,Fitness centre manager,0,25,108698.71,8.948441696,8,0,0,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Bank Transfer(automatic),-0.8727897427423624,-1.575011966241172,-0.9725858729637207,5,6,4,2,3,5,5,3,False,False,False,True,False,False,
1582,fd99d492689f50eaaa11ee76a5181581,Rural,America/Chicago,Drilling engineer,4,69,23424.87,9.170276294,12,0,0,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Electronic Check,-0.6332095720031462,0.05841179510993007,-0.6505327966282674,4,4,3,3,3,5,5,5,False,False,False,False,False,True,0.056769478040270376
1583,706ac622e2a67df506347088510e2e40,Urban,America/Chicago,Interpreter,8,32,57380.34,9.231958141,14,1,1,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Mailed Check,-0.8259703897325252,-0.23685984922003486,-0.6253078302092119,3,4,4,2,4,3,4,3,False,False,False,False,False,True,-0.27031358071232814
1584,14df862417bda25df1bf1cc794cfe6a4,Rural,America/Chicago,Clinical psychologist,3,75,80269.13,12.3404636,12,0,0,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Mailed Check,-0.6038347953438179,0.05503818529316915,-0.48515381761274085,1,1,1,3,2,3,2,3,False,False,False,False,False,True,0.05357696086370309
1585,d015de748a774b794b39cba5abd80a7d,Rural,America/Chicago,Scientific laboratory technician,5,46,13862.09,12.55644716,8,1,0,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Bank Transfer(automatic),-1.0799560811605051,-0.06241474400166477,-1.1100715353110715,3,1,3,5,3,2,3,4,False,False,True,True,False,False,-0.0644475855407803
1586,92d2d95b11eae4555b176fffaf1a482b,Rural,America/Denver,Theme park manager,5,23,23946.97,11.43130499,11,0,0,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Mailed Check,-1.0331303361357262,1.0443500209116188,-0.9877981676213483,4,3,2,3,3,3,4,3,False,False,True,False,False,True,0.7150799007884763
